fold,subfold,words,segments,pos_tags
"5","B","[اللي,يحبها,ما,يديرلهاش,المشاكل, ...]","[اللي,يحب+ها,ما,يدير+ل+ها+ش,ال+مشاكل, ...]","[PART,V+PRON,PART,V+PREP+PRON+NEG_PART,DET+NOUN, ...]"
"2","B","[المسرحية,تقنتوها,برافو,عليكم,،, ...]","[ال+مسرحي+ة,تقن+تو+ها,برافو,علي+كم,،, ...]","[DET+NOUN+NSUFF,V+PRON+PRON,NOUN,PREP+PRON,PUNC, ...]"
"1","A","[#كلاسيكيات_الابتدائي,المسكة,اللي,تاتلقا,فيها, ...]","[#كلاسيكيات_الابتدائي,ال+مسك+ة,اللي,تا+تلقا,في+ها, ...]","[HASH,DET+NOUN+NSUFF,PART,FUT_PART+V,PREP+PRON, ...]"
"1","A","[المغاربة,من,فضلكم,لوكان,ايهاب, ...]","[ال+مغارب+ة,من,فضل+كم,لو+كان,ايهاب, ...]","[DET+NOUN+NSUFF,PREP,NOUN+PRON,CONJ+V,NOUN, ...]"
"5","A","[المهم,اني,الحين,بخير,و, ...]","[ال+مهم,ان+ي,ال+حين,ب+خير,و, ...]","[DET+NOUN,PART+PRON,DET+ADV,PREP+NOUN,CONJ, ...]"
"4","B","[الناس,لي,جايين,للمطار,عافاكم, ...]","[ال+ناس,لي,جاي+ين,ل+ال+مطار,عافا+كم, ...]","[DET+NOUN,PART,ADJ+NSUFF,PREP+DET+NOUN,V+PRON, ...]"
"4","A","[@rajouana,الهدرة,زوينة,بزاف,نهار, ...]","[@rajouana,ال+هدر+ة,زوين+ة,بزاف,نهار, ...]","[MENTION,DET+NOUN+NSUFF,ADJ+NSUFF,ADV,NOUN, ...]"
"4","B","[#كلاسيكيات_الابتدائي,الواليدة,،,عطيني,10, ...]","[#كلاسيكيات_الابتدائي,ال+واليد+ة,،,عطي+ني,10, ...]","[HASH,DET+NOUN+NSUFF,PUNC,V+PRON,NUM, ...]"
"5","A","[الوقت,هاد,لا,بتقدر,تدرس, ...]","[ال+وقت,هاد,لا,ب+تقدر,تدرس, ...]","[DET+NOUN,PRON,PART,PROG_PART+V,V, ...]"
"5","A","[الى,كل,فانز,حنان,الحقيقي, ...]","[الى,كل,فانز,حنان,ال+حقيقي, ...]","[PREP,NOUN,NOUN,NOUN,DET+NOUN, ...]"
"3","B","[الي,توحش,يسمع,اهاب,ليوم, ...]","[الي,توحش,يسمع,اهاب,ل+يوم, ...]","[PART,V,V,NOUN,DET+NOUN, ...]"
"1","B","[#HananeElkhader,#StaracArabia,الي,فانز,حنان, ...]","[#HananeElkhader,#StaracArabia,الي,فانز,حنان, ...]","[HASH,HASH,PART,NOUN,NOUN, ...]"
"4","A","[الي,يحب,سهيلة,ماش,لازم, ...]","[الي,يحب,سهيل+ة,ماش,لازم, ...]","[PART,V,NOUN+NSUFF,PART,NOUN, ...]"
"3","B","[#SouhilaBenLachhab,اليوم,رحت,للعمل,متاخرة, ...]","[#SouhilaBenLachhab,ال+يوم,رح+ت,ل+ال+عمل,متاخر+ة, ...]","[HASH,DET+NOUN,V+PRON,PREP+DET+NOUN,ADJ+NSUFF, ...]"
"3","B","[اليوم,كثرتو,من,زطلة,هههههه, ...]","[ال+يوم,كثرت+و,من,زطل+ة,هههههه, ...]","[DET+NOUN,V+PRON,PREP,NOUN+NSUFF,EMOT, ...]"
"3","A","[@moun214,امين,يا,ربي,باقي, ...]","[@moun214,امين,يا,رب+ي,باقي, ...]","[MENTION,NOUN,PART,NOUN+PRON,V, ...]"
"3","A","[#StaracArabia,#HananeElKhader,انا,تعصبني,حنان, ...]","[#StaracArabia,#HananeElKhader,انا,تعصب+ني,حنان, ...]","[HASH,HASH,PRON,V+PRON,NOUN, ...]"
"1","A","[#IhabAmir,#SouhailaBenLachhab,انا,و,الله, ...]","[#IhabAmir,#SouhailaBenLachhab,انا,و,الله, ...]","[HASH,HASH,PRON,CONJ,NOUN, ...]"
"1","A","[انتوما,اصبرو,مازال,ما,شفتو, ...]","[انتوما,اصبر+و,مازال,ما,شفت+و, ...]","[PRON,V+PRON,PART,PART,V+PRON, ...]"
"1","A","[انتي,باغيه,واحد,يكون,دمو, ...]","[انتي,باغي+ه,واحد,يكون,دم+و, ...]","[PRON,V+PRON,NOUN,V,NOUN+PRON, ...]"
"3","A","[@nadinesmayra,انتي,بس,جربي,تدخلي, ...]","[@nadinesmayra,انتي,بس,جرب+ي,تدخل+ي, ...]","[MENTION,PRON,ADV,V+PRON,V+PRON, ...]"
"4","A","[انتي,وهوبا,احلى,ثنائي,اسمعيه, ...]","[انتي,و+هوبا,احلى,ثنائي,اسمع+ي+ه, ...]","[PRON,CONJ+NOUN,ADJ,NOUN,V+PRON+PRON, ...]"
"5","A","[انشاء,الله,ترجع,و,يوصلها, ...]","[انشاء,الله,ترجع,و,يوصل+ها, ...]","[NOUN,NOUN,V,CONJ,V+PRON, ...]"
"1","B","[@najet811,@souad_souadsou,اه,اكيد,التصويت, ...]","[@najet811,@souad_souadsou,اه,اكيد,ال+تصويت, ...]","[MENTION,MENTION,NOUN,ADV,DET+NOUN, ...]"
"2","B","[@DadiMila,اه,راه,القائد,دخل, ...]","[@DadiMila,اه,را+ه,ال+قائد,دخل, ...]","[MENTION,NOUN,PART+PRON,DET+NOUN,V, ...]"
"4","B","[@GhitaMaroc_,اه,وشفتيه,هو,كيفاش, ...]","[@GhitaMaroc_,اه,و+شفت+ي+ه,هو,كيفاش, ...]","[MENTION,NOUN,CONJ+V+PRON+PRON,PRON,PART, ...]"
"2","A","[#IhabAmir,#socailMediaNight,اهاب,ولدالشعب,شعب, ...]","[#IhabAmir,#socailMediaNight,اهاب,ولد+ال+شعب,شعب, ...]","[HASH,HASH,NOUN,NOUN+DET+NOUN,NOUN, ...]"
"3","A","[اول,مرة,نقمع,شي,واحد, ...]","[اول,مر+ة,نقمع,شي,واحد, ...]","[NOUN,NOUN+NSUFF,V,NOUN,ADJ, ...]"
"5","B","[@nabiloussama16,ايه,والله,بزاف,كي, ...]","[@nabiloussama16,ايه,و+الله,بزاف,كي, ...]","[MENTION,PART,CONJ+NOUN,ADV,PART, ...]"
"1","B","[ايهاب,تهلا,فحنان,وماتخلش,البراني, ...]","[ايهاب,تهلا,ف+حنان,و+ما+تخل+ش,ال+براني, ...]","[NOUN,V,PREP+NOUN,CONJ+PART+V+NEG_PART,DET+NOUN, ...]"
"2","A","[ايهاب,حديث,الساعة,يا,ناس, ...]","[ايهاب,حديث,ال+ساع+ة,يا,ناس, ...]","[NOUN,NOUN,DET+NOUN+NSUFF,PART,NOUN, ...]"
"4","B","[ايهاب,:,راكي,عارفة,نتي, ...]","[ايهاب,:,را+كي,عارف+ة,نتي, ...]","[NOUN,PUNC,PART+PRON,ADJ+NSUFF,PRON, ...]"
"2","B","[#IhabAmir,#SocialMediaNight,ايهاب,زير,راسك, ...]","[#IhabAmir,#SocialMediaNight,ايهاب,زير,راس+ك, ...]","[HASH,HASH,NOUN,V,NOUN+PRON, ...]"
"5","B","[#SocialMediaNight,ايهاب,سهيلة,كانت,تحكي, ...]","[#SocialMediaNight,ايهاب,سهيل+ة,كان+ت,تحكي, ...]","[HASH,NOUN,NOUN+NSUFF,V+PRON,V, ...]"
"5","A","[ايهاب,لوكان,راه,راكب,ف, ...]","[ايهاب,لو+كان,را+ه,راكب,ف, ...]","[NOUN,CONJ+V,PART+PRON,ADJ,PREP, ...]"
"2","A","[#SouhailaBenLachhab,#IhabAmir,ايهاب,وسهيلة,واحد, ...]","[#SouhailaBenLachhab,#IhabAmir,ايهاب,و+سهيل+ة,واحد, ...]","[HASH,HASH,NOUN,CONJ+NOUN+NSUFF,ADJ, ...]"
"4","A","[@GhizlaneGM,اييه,اللي,سرقو,الطاموبيل, ...]","[@GhizlaneGM,اييه,اللي,سرق+و,ال+طاموبيل, ...]","[MENTION,NOUN,PART,V+PRON,DET+NOUN, ...]"
"5","B","[بالعربية,هادشي,غير,تبرهيش,دعمو, ...]","[ب+ال+عربي+ة,هادشي,غير,تبرهيش,دعم+و, ...]","[PREP+DET+NOUN+NSUFF,PRON,NOUN,NOUN,V+PRON, ...]"
"4","B","[باي,باي,مصر,هلو,لبنان, ...]","[باي,باي,مصر,هلو,لبنان, ...]","[NOUN,NOUN,NOUN,NOUN,NOUN, ...]"
"1","A","[#ببسي_مع_سهيله_يلا_تقدر,#بالغرام,#شبه_الحنين,#NouvelAn,#HappyNewYear_Souhila, ...]","[#ببسي_مع_سهيله_يلا_تقدر,#بالغرام,#شبه_الحنين,#NouvelAn,#HappyNewYear_Souhila, ...]","[HASH,HASH,HASH,HASH,HASH, ...]"
"5","A","[*,برد,يديه,معا,الحديدة, ...]","[*,برد,يد+ي+ه,معا,ال+حديد+ة, ...]","[PUNC,V,NOUN+NSUFF+PRON,NOUN,DET+NOUN+NSUFF, ...]"
"4","B","[بزاف,عليك,كل,دقيقة,المغرب, ...]","[بزاف,علي+ك,كل,دقيق+ة,ال+مغرب, ...]","[ADV,PREP+PRON,NOUN,NOUN+NSUFF,DET+NOUN, ...]"
"4","B","[بزاف,عليك,وصعيب,تلعبي,بيا, ...]","[بزاف,علي+ك,و+صعيب,تلعب+ي,ب+يا, ...]","[ADV,PREP+PRON,CONJ+NOUN,V+PRON,PREP+PRON, ...]"
"2","B","[@HasamiBouchra,بصح,انا,مراكشية,خخخخخ, ...]","[@HasamiBouchra,ب+صح,انا,مراكشي+ة,خخخخخ, ...]","[MENTION,PREP+NOUN,PRON,ADJ+NSUFF,EMOT, ...]"
"4","B","[بصح,ما,نعرفش,قداه,الساعة, ...]","[ب+صح,ما,نعرف+ش,قداه,ال+ساع+ة, ...]","[PREP+NOUN,PART,V+NEG_PART,NOUN,DET+NOUN+NSUFF, ...]"
"4","B","[#NassimRaissi,#SocialMediaNight,بعد,خروج,ايهاب, ...]","[#NassimRaissi,#SocialMediaNight,بعد,خروج,ايهاب, ...]","[HASH,HASH,ADV,NOUN,NOUN, ...]"
"2","B","[بغيت,شكارة,ديال,الرويض,#كلاسيكيات_الابتدائي, ...]","[بغي+ت,شكار+ة,ديال,ال+رويض,#كلاسيكيات_الابتدائي, ...]","[V+PRON,NOUN+NSUFF,PREP,DET+NOUN,HASH, ...]"
"5","B","[بغيتها,غا,تخرج,من,اذاعة, ...]","[بغي+ت+ها,غا,تخرج,من,اذاع+ة, ...]","[V+PRON+PRON,PART,V,PREP,NOUN+NSUFF, ...]"
"5","B","[#StaracArabia,#HananeElkhader,#IhabAmir,بغيتو,غير, ...]","[#StaracArabia,#HananeElkhader,#IhabAmir,بغيت+و,غير, ...]","[HASH,HASH,HASH,V+PRON,NOUN, ...]"
"4","A","[بغيتي,يكون,عندك,#الزهر,مع, ...]","[بغي+تي,يكون,عند+ك,#الزهر,مع, ...]","[V+PRON,V,NOUN+PRON,HASH,CONJ, ...]"
"2","A","[#WeWantSouhilaInConstantine,بلا,مانحكيو,راها,معروفة, ...]","[#WeWantSouhilaInConstantine,ب+لا,ما+نحكي+و,را+ها,معروف+ة, ...]","[HASH,PREP+PART,PART+V+PRON,PART+PRON,ADJ+NSUFF, ...]"
"3","A","[بليز,سوهابيين,انشروها,باش,توصل, ...]","[بليز,سوهابيين,انشر+و+ها,باش,توصل, ...]","[NOUN,NOUN,V+PRON+PRON,PART,V, ...]"
"1","A","[@AmNaAlgeriana,@akdi2014oumaima,بلييز,اخواننا,الجزائريين, ...]","[@AmNaAlgeriana,@akdi2014oumaima,بلييز,اخوان+نا,ال+جزائري+ين, ...]","[MENTION,MENTION,NOUN,NOUN+PRON,DET+ADJ+NSUFF, ...]"
"2","B","[#hananeelkhader,بنادم,مكلخ,واش,بغيتو, ...]","[#hananeelkhader,بن+ادم,مكلخ,واش,بغيت+و, ...]","[HASH,NOUN+NOUN,ADJ,PART,V+PRON, ...]"
"1","A","[@souhilastar4,بنت,بلادي,فانز,عباس, ...]","[@souhilastar4,بنت,بلاد+ي,فانز,عباس, ...]","[MENTION,NOUN,NOUN+PRON,NOUN,NOUN, ...]"
"2","A","[بنت,بلد,المليون,و,نصف, ...]","[بنت,بلد,ال+مليون,و,نصف, ...]","[NOUN,NOUN,DET+NOUN,CONJ,NOUN, ...]"
"3","B","[بينالتي,واخا,،,ولكن,علاش, ...]","[بينالتي,واخا,،,و+لكن,علاش, ...]","[NOUN,NOUN,PUNC,CONJ+PART,PART, ...]"
"3","A","[@Gulia_Salim,@ninoucha3006,شكون,اللي,قالو, ...]","[@Gulia_Salim,@ninoucha3006,شكون,اللي,قال+و, ...]","[MENTION,MENTION,PART,PART,V+PRON, ...]"
"5","A","[#كلاسيكيات_الابتدائي,-,كتسخن,يديك,فـالدجين, ...]","[#كلاسيكيات_الابتدائي,-,ك+تسخن,يد+ي+ك,ف+ال+دجين, ...]","[HASH,PUNC,CONJ+V,NOUN+NSUFF+PRON,PREP+DET+NOUN, ...]"
"3","A","[@souhilabintarab,تستاهلي,كل,الناس,يحبوك, ...]","[@souhilabintarab,تستاهل+ي,كل,ال+ناس,يحب+و+ك, ...]","[MENTION,V+PRON,NOUN,DET+NOUN,V+PRON+PRON, ...]"
"1","B","[تسكاتيين,اشنو,كاتبة,ابتسام,في, ...]","[ت+سكات+يين,اشنو,كاتب+ة,ابتسام,في, ...]","[PART+NOUN+NSUFF,PART,NOUN+NSUFF,NOUN,PREP, ...]"
"2","A","[تصبحوا,على,خير,يا,رباعه, ...]","[تصبح+وا,على,خير,يا,رباع+ه, ...]","[V+PRON,PREP,NOUN,PART,NOUN+NSUFF, ...]"
"1","B","[تفكرت,ريم,غزالي,كي,حكات, ...]","[تفكر+ت,ريم,غزالي,كي,حك+ات, ...]","[V+PRON,NOUN,NOUN,PART,V+PRON, ...]"
"2","B","[#كلاسيكيات_الابتدائي,تكري,من,الخزانة,ديال, ...]","[#كلاسيكيات_الابتدائي,تكري,من,ال+خزان+ة,ديال, ...]","[HASH,V,PREP,DET+NOUN+NSUFF,PREP, ...]"
"1","A","[شكون,من,المواهب,تبغيو,تشوفو, ...]","[شكون,من,ال+مواهب,تبغي+و,تشوف+و, ...]","[PART,PREP,DET+NOUN,V+PRON,V+PRON, ...]"
"2","B","[@SouhilaBnLachab,تنبيه,:,هذا,كذاب, ...]","[@SouhilaBnLachab,تنبيه,:,هذا,كذاب, ...]","[MENTION,NOUN,PUNC,PRON,NOUN, ...]"
"2","A","[#توحشناك_يا_ايهاب,#توحشناك_يا_ايهاب,#الله_يشافيك_ايهاب,توحشنا,الضحكة, ...]","[#توحشناك_يا_ايهاب,#توحشناك_يا_ايهاب,#الله_يشافيك_ايهاب,توحش+نا,ال+ضحك+ة, ...]","[HASH,HASH,HASH,V+PRON,DET+NOUN+NSUFF, ...]"
"2","B","[جميل,ان,جمهور,ستارك,الجزائري, ...]","[جميل,ان,جمهور,ستارك,ال+جزائري, ...]","[NOUN,PART,NOUN,NOUN,DET+ADJ, ...]"
"5","B","[جيبو,لي,بو,كراوع,ستيلو, ...]","[جيب+و,ل+ي,بو,كراوع,ستيلو, ...]","[V+PRON,PREP+PRON,NOUN,NOUN,NOUN, ...]"
"5","B","[حابة,نشوف,غدة,فعل,سوسو, ...]","[حاب+ة,نشوف,غد+ة,فعل,سوسو, ...]","[NOUN+NSUFF,V,ADV+NSUFF,NOUN,NOUN, ...]"
"1","A","[حابسينها,عندهم,مخسروش,عليها,حتى, ...]","[حابس+ين+ها,عند+هم,م+خسر+و+ش,علي+ها,حتى, ...]","[V+PRON+PRON,NOUN+PRON,PART+V+PRON+NEG_PART,PREP+PRON,PART, ...]"
"5","A","[@faridarguiba,حتى,حنا,يا,لغزاله, ...]","[@faridarguiba,حتى,حنا,يا,ل+غزال+ه, ...]","[MENTION,PART,PRON,PART,DET+NOUN+NSUFF, ...]"
"3","B","[@79Anise,@ChawkiOfficial,@AnisBourahla1,حرام,عليكم, ...]","[@79Anise,@ChawkiOfficial,@AnisBourahla1,حرام,علي+كم, ...]","[MENTION,MENTION,MENTION,NOUN,PREP+PRON, ...]"
"1","B","[#حركة_كايدينهم,#لا_لتغيير_قانون_الانتخابات,#نؤيد_تحصين_لجنة_انتخابات_الرئاسة,ايه,يا, ...]","[#حركة_كايدينهم,#لا_لتغيير_قانون_الانتخابات,#نؤيد_تحصين_لجنة_انتخابات_الرئاسة,ايه,يا, ...]","[HASH,HASH,HASH,PART,PART, ...]"
"3","B","[حسب,عاجل,قناة,الخضراء,اليوم, ...]","[حسب,عاجل,قنا+ة,ال+خضراء,ال+يوم, ...]","[NOUN,ADJ,NOUN+NSUFF,DET+NOUN,DET+NOUN, ...]"
"1","A","[#كلاسيكيات_الابتدائي,حط,زغبة,حمار,فالكرسي, ...]","[#كلاسيكيات_الابتدائي,حط,زغب+ة,حمار,ف+ال+كرسي, ...]","[HASH,V,NOUN+NSUFF,NOUN,PREP+DET+NOUN, ...]"
"1","B","[@sheryfa_Teamdz,@maya_sarra,حلابات,بلادي,ينحيو, ...]","[@sheryfa_Teamdz,@maya_sarra,حلاب+ات,بلاد+ي,ينحي+و, ...]","[MENTION,MENTION,NOUN+NSUFF,NOUN+PRON,V+PRON, ...]"
"1","B","[@noumidya19,حمارة,الله,يعطيها,الدل, ...]","[@noumidya19,حمار+ة,الله,يعطي+ها,ال+دل, ...]","[MENTION,NOUN+NSUFF,NOUN,V+PRON,DET+NOUN, ...]"
"3","A","[#HananeElKhader,#StaracArabia,حنان,للاسف,نوميني, ...]","[#HananeElKhader,#StaracArabia,حنان,ل+ال+اسف,نوميني, ...]","[HASH,HASH,NOUN,PREP+DET+NOUN,NOUN, ...]"
"5","B","[@91sofiaa,@ibtissa50624402,@Nouhayl_12,حنان,وا, ...]","[@91sofiaa,@ibtissa50624402,@Nouhayl_12,حنان,وا, ...]","[MENTION,MENTION,MENTION,NOUN,PART, ...]"
"5","A","[خاص,شي,واحد,يدير,كونسيپط, ...]","[خاص,شي,واحد,يدير,كونسيپط, ...]","[V,NOUN,ADJ,V,NOUN, ...]"
"1","A","[خاوتي,كاين,حساب,كاتب,مدير, ...]","[خاو+ت+ي,كاين,حساب,كاتب,مدير, ...]","[NOUN+NSUFF+PRON,ADJ,NOUN,NOUN,NOUN, ...]"
"5","B","[#ChantalGeagea,خرجتي,واش,ربحتي,يا, ...]","[#ChantalGeagea,خرج+تي,واش,ربح+تي,يا, ...]","[HASH,V+PRON,PART,V+PRON,PART, ...]"
"4","B","[@rimi_amir,خويا,خلاص,خلونا,نحلو, ...]","[@rimi_amir,خو+يا,خلاص,خل+و+نا,نحل+و, ...]","[MENTION,NOUN+PRON,NOUN,V+PRON+PRON,V+PRON, ...]"
"4","B","[د,#قول_رايك_في_الشعب_الجزايري,شعب,مهبــول,مرنك, ...]","[د,#قول_رايك_في_الشعب_الجزايري,شعب,مهبول,مرنك, ...]","[PRON,HASH,NOUN,ADJ,ADJ, ...]"
"2","A","[دابا,قنعوني,ان,حنان,ماغناتش, ...]","[دابا,قنع+و+ني,ان,حنان,ما+غنا+ت+ش, ...]","[ADV,V+PRON+PRON,PART,NOUN,PART+V+PRON+NEG_PART, ...]"
"5","B","[@fatimabagossa,دابا,ييه,نغسل,المواعن, ...]","[@fatimabagossa,دابا,ييه,نغسل,ال+مواعن, ...]","[MENTION,ADV,NOUN,V,DET+NOUN, ...]"
"1","B","[دبا,القزبر,و,المعدنوس,ديما, ...]","[دبا,ال+قزبر,و,ال+معدنوس,ديما, ...]","[ADV,DET+NOUN,CONJ,DET+NOUN,ADV, ...]"
"3","B","[@ShahraaZed,دبا,هاد,شي,الي, ...]","[@ShahraaZed,دبا,هاد,شي,الي, ...]","[MENTION,ADV,PRON,NOUN,PART, ...]"
"5","A","[@Douzi_Official,دوزي,واش,هذي,المزرعة, ...]","[@Douzi_Official,دوز+ي,واش,هذي,ال+مزرع+ة, ...]","[MENTION,V+PRON,PART,PART,DET+NOUN+NSUFF, ...]"
